training_id,operator_id,trigger_event_id,issue_type,attribution_type,confidence,lesson_id,lesson_type,quiz_score_before,quiz_score_after,before_metric,after_metric,improvement_pct,escalation_state,completed_timestamp
TR00181,OP1027,SE01078,seatbelt_compliance,mixed,0.78,L002,micro_lesson,6,7,0.361,0.555,19.5,second_trigger,2026-02-05T06:00:00
TR00182,OP1029,SE00216,fuel_efficiency,mixed,0.817,L005,micro_lesson,3,10,0.608,0.711,10.3,second_trigger,2026-02-07T06:00:00
TR00183,OP1027,SE01206,efficient_loading,operator-driven,0.86,L004,quiz_only,7,10,0.697,0.775,7.8,second_trigger,2026-01-30T06:00:00
TR00184,OP1002,SE01368,efficient_loading,operator-driven,0.787,L004,quiz_only,3,10,0.749,0.82,7.1,first_trigger,2026-02-19T06:00:00
TR00185,OP1009,SE00574,efficient_loading,mixed,0.682,L004,scenario,6,5,0.501,0.545,4.3,first_trigger,2026-02-17T06:00:00
TR00186,OP1027,SE00115,swing_zone_awareness,operator-driven,0.67,L003,quiz_only,4,5,0.374,0.377,0.3,escalated_to_supervisor,2026-02-01T06:00:00
TR00187,OP1018,SE00564,idle_reduction,mixed,0.787,L001,quiz_only,5,6,0.657,0.91,25.3,second_trigger,2026-01-30T06:00:00
TR00188,OP1024,SE00112,swing_zone_awareness,mixed,0.668,L003,quiz_only,3,6,0.583,0.604,2.1,escalated_to_supervisor,2026-01-21T06:00:00
TR00189,OP1022,SE01186,fuel_efficiency,operator-driven,0.912,L005,micro_lesson,3,8,0.31,0.459,14.9,first_trigger,2026-01-12T06:00:00
TR00190,OP1018,SE00552,seatbelt_compliance,mixed,0.884,L002,scenario,3,6,0.582,0.794,21.3,escalated_to_supervisor,2026-01-06T06:00:00
TR00191,OP1009,SE00139,swing_zone_awareness,operator-driven,0.942,L003,micro_lesson,7,5,0.326,0.509,18.3,first_trigger,2026-02-23T06:00:00
TR00192,OP1006,SE01112,swing_zone_awareness,operator-driven,0.839,L003,micro_lesson,7,8,0.602,0.89,28.8,first_trigger,2026-01-25T06:00:00
TR00193,OP1012,SE00070,fuel_efficiency,mixed,0.67,L005,micro_lesson,4,8,0.545,0.639,9.5,first_trigger,2026-02-26T06:00:00
TR00194,OP1019,SE00222,seatbelt_compliance,operator-driven,0.686,L002,micro_lesson,7,10,0.371,0.418,4.7,first_trigger,2026-01-07T06:00:00
TR00195,OP1013,SE01053,swing_zone_awareness,mixed,0.783,L003,scenario,7,7,0.693,0.813,12.0,second_trigger,2026-01-31T06:00:00
TR00196,OP1009,SE01006,efficient_loading,mixed,0.654,L004,micro_lesson,3,8,0.554,0.637,8.4,second_trigger,2026-02-20T06:00:00
TR00197,OP1004,SE00798,idle_reduction,operator-driven,0.894,L001,quiz_only,5,5,0.473,0.729,25.6,first_trigger,2026-02-13T06:00:00
TR00198,OP1021,SE01278,efficient_loading,operator-driven,0.705,L004,scenario,5,5,0.565,0.641,7.6,first_trigger,2026-01-18T06:00:00
TR00199,OP1009,SE00392,efficient_loading,mixed,0.684,L004,scenario,7,6,0.493,0.586,9.3,first_trigger,2026-01-13T06:00:00
TR00200,OP1020,SE00275,seatbelt_compliance,mixed,0.675,L002,scenario,6,7,0.656,0.7,4.4,escalated_to_supervisor,2026-02-08T06:00:00
TR00201,OP1019,SE01012,swing_zone_awareness,operator-driven,0.707,L003,quiz_only,3,7,0.44,0.5,6.0,first_trigger,2026-02-18T06:00:00
TR00202,OP1026,SE00727,fuel_efficiency,operator-driven,0.763,L005,scenario,7,6,0.363,0.415,5.2,first_trigger,2026-01-04T06:00:00
TR00203,OP1023,SE01345,efficient_loading,mixed,0.821,L004,quiz_only,6,7,0.364,0.438,7.4,second_trigger,2026-01-23T06:00:00
TR00204,OP1016,SE00674,fuel_efficiency,mixed,0.946,L005,micro_lesson,7,7,0.649,0.9,25.2,second_trigger,2026-01-12T06:00:00
TR00205,OP1024,SE01178,seatbelt_compliance,mixed,0.861,L002,micro_lesson,6,7,0.548,0.768,21.9,second_trigger,2026-02-16T06:00:00
TR00206,OP1004,SE00941,seatbelt_compliance,mixed,0.736,L002,quiz_only,7,9,0.647,0.702,5.5,escalated_to_supervisor,2026-01-18T06:00:00
TR00207,OP1024,SE00637,swing_zone_awareness,mixed,0.939,L003,quiz_only,6,9,0.646,0.73,8.4,first_trigger,2026-01-31T06:00:00
TR00208,OP1005,SE00058,efficient_loading,mixed,0.888,L004,quiz_only,3,6,0.641,0.868,22.7,first_trigger,2026-01-28T06:00:00
TR00209,OP1007,SE00493,swing_zone_awareness,operator-driven,0.835,L003,scenario,5,6,0.47,0.736,26.6,first_trigger,2026-01-03T06:00:00
TR00210,OP1009,SE00083,efficient_loading,operator-driven,0.857,L004,scenario,4,8,0.336,0.434,9.8,second_trigger,2026-02-17T06:00:00
TR00211,OP1028,SE01066,efficient_loading,operator-driven,0.705,L004,scenario,7,9,0.691,0.732,4.2,second_trigger,2026-01-08T06:00:00
TR00212,OP1011,SE01010,fuel_efficiency,operator-driven,0.665,L005,micro_lesson,7,8,0.686,0.687,0.1,second_trigger,2026-02-07T06:00:00
TR00213,OP1005,SE01184,swing_zone_awareness,mixed,0.907,L003,quiz_only,5,6,0.738,0.899,16.1,first_trigger,2026-02-26T06:00:00
TR00214,OP1026,SE00209,efficient_loading,operator-driven,0.712,L004,quiz_only,6,7,0.69,0.759,6.9,second_trigger,2026-02-20T06:00:00
TR00215,OP1025,SE01298,efficient_loading,mixed,0.746,L004,micro_lesson,5,6,0.479,0.5,2.1,first_trigger,2026-01-21T06:00:00
TR00216,OP1027,SE00388,efficient_loading,operator-driven,0.691,L004,quiz_only,3,5,0.485,0.58,9.6,second_trigger,2026-02-01T06:00:00
TR00217,OP1026,SE01401,swing_zone_awareness,mixed,0.719,L003,micro_lesson,5,9,0.434,0.531,9.7,first_trigger,2026-01-12T06:00:00
TR00218,OP1027,SE00253,swing_zone_awareness,operator-driven,0.663,L003,quiz_only,3,6,0.351,0.412,6.2,first_trigger,2026-02-03T06:00:00
TR00219,OP1018,SE00045,idle_reduction,operator-driven,0.817,L001,micro_lesson,6,10,0.625,0.679,5.4,first_trigger,2026-02-28T06:00:00
TR00220,OP1014,SE00473,fuel_efficiency,operator-driven,0.712,L005,scenario,7,7,0.533,0.603,7.1,second_trigger,2026-02-26T06:00:00
TR00221,OP1015,SE00918,idle_reduction,mixed,0.789,L001,scenario,7,9,0.375,0.507,13.2,second_trigger,2026-01-04T06:00:00
TR00222,OP1028,SE00069,idle_reduction,operator-driven,0.909,L001,scenario,4,10,0.465,0.752,28.7,second_trigger,2026-02-03T06:00:00
TR00223,OP1003,SE00742,fuel_efficiency,operator-driven,0.734,L005,scenario,7,9,0.638,0.73,9.2,second_trigger,2026-02-23T06:00:00
TR00224,OP1024,SE01150,swing_zone_awareness,mixed,0.836,L003,scenario,4,9,0.615,0.799,18.4,first_trigger,2026-02-16T06:00:00
TR00225,OP1002,SE01150,idle_reduction,operator-driven,0.856,L001,scenario,6,5,0.44,0.593,15.4,second_trigger,2026-01-11T06:00:00
TR00226,OP1009,SE01123,seatbelt_compliance,mixed,0.91,L002,quiz_only,3,7,0.346,0.624,27.8,escalated_to_supervisor,2026-01-09T06:00:00
TR00227,OP1027,SE01219,seatbelt_compliance,operator-driven,0.823,L002,quiz_only,3,7,0.644,0.817,17.3,second_trigger,2026-02-16T06:00:00
TR00228,OP1011,SE00582,fuel_efficiency,operator-driven,0.723,L005,scenario,5,9,0.57,0.604,3.5,second_trigger,2026-01-02T06:00:00
TR00229,OP1030,SE01464,swing_zone_awareness,mixed,0.655,L003,micro_lesson,4,8,0.692,0.701,0.8,first_trigger,2026-02-27T06:00:00
TR00230,OP1023,SE00136,seatbelt_compliance,operator-driven,0.933,L002,micro_lesson,6,5,0.522,0.613,9.1,first_trigger,2026-02-09T06:00:00
TR00231,OP1003,SE00484,fuel_efficiency,operator-driven,0.801,L005,scenario,6,8,0.366,0.576,21.0,second_trigger,2026-01-05T06:00:00
TR00232,OP1010,SE01283,fuel_efficiency,operator-driven,0.662,L005,micro_lesson,3,9,0.685,0.757,7.2,first_trigger,2026-01-22T06:00:00
TR00233,OP1013,SE00236,efficient_loading,mixed,0.692,L004,quiz_only,3,5,0.417,0.459,4.2,first_trigger,2026-01-22T06:00:00
TR00234,OP1017,SE01053,fuel_efficiency,mixed,0.679,L005,scenario,5,8,0.453,0.524,7.1,first_trigger,2026-01-23T06:00:00
TR00235,OP1029,SE01013,fuel_efficiency,mixed,0.767,L005,micro_lesson,7,8,0.397,0.49,9.3,second_trigger,2026-01-31T06:00:00
TR00236,OP1006,SE00454,swing_zone_awareness,operator-driven,0.751,L003,micro_lesson,5,8,0.666,0.876,21.0,first_trigger,2026-01-23T06:00:00
TR00237,OP1026,SE00022,fuel_efficiency,mixed,0.819,L005,scenario,5,10,0.583,0.709,12.6,first_trigger,2026-01-16T06:00:00
TR00238,OP1018,SE01147,swing_zone_awareness,operator-driven,0.932,L003,quiz_only,6,10,0.636,0.758,12.2,first_trigger,2026-01-29T06:00:00
TR00239,OP1027,SE00640,seatbelt_compliance,operator-driven,0.907,L002,micro_lesson,3,7,0.536,0.633,9.7,first_trigger,2026-03-01T06:00:00
TR00240,OP1012,SE00497,swing_zone_awareness,operator-driven,0.771,L003,quiz_only,4,9,0.437,0.543,10.7,first_trigger,2026-02-25T06:00:00
TR00241,OP1030,SE00913,idle_reduction,operator-driven,0.834,L001,quiz_only,6,10,0.68,0.892,21.3,first_trigger,2026-02-16T06:00:00
TR00242,OP1026,SE00130,efficient_loading,operator-driven,0.844,L004,quiz_only,3,9,0.431,0.607,17.6,second_trigger,2026-01-19T06:00:00
TR00243,OP1014,SE00841,fuel_efficiency,operator-driven,0.724,L005,quiz_only,6,9,0.602,0.684,8.2,first_trigger,2026-01-22T06:00:00
TR00244,OP1028,SE01232,fuel_efficiency,mixed,0.835,L005,scenario,5,10,0.654,0.747,9.4,first_trigger,2026-01-19T06:00:00
TR00245,OP1021,SE01288,efficient_loading,operator-driven,0.789,L004,quiz_only,4,9,0.307,0.524,21.6,first_trigger,2026-01-05T06:00:00
TR00246,OP1018,SE00630,swing_zone_awareness,mixed,0.898,L003,quiz_only,5,6,0.683,0.939,25.6,first_trigger,2026-01-24T06:00:00
TR00247,OP1018,SE01072,idle_reduction,mixed,0.871,L001,micro_lesson,3,9,0.58,0.729,14.9,escalated_to_supervisor,2026-02-03T06:00:00
TR00248,OP1022,SE00869,fuel_efficiency,operator-driven,0.76,L005,micro_lesson,5,6,0.506,0.63,12.4,first_trigger,2026-01-19T06:00:00
TR00249,OP1001,SE00718,fuel_efficiency,mixed,0.85,L005,micro_lesson,6,6,0.658,0.772,11.4,escalated_to_supervisor,2026-01-13T06:00:00
TR00250,OP1024,SE00584,idle_reduction,operator-driven,0.88,L001,quiz_only,6,9,0.628,0.91,28.3,first_trigger,2026-02-22T06:00:00
TR00251,OP1026,SE00962,efficient_loading,operator-driven,0.7,L004,quiz_only,4,8,0.596,0.695,9.9,first_trigger,2026-02-18T06:00:00
TR00252,OP1012,SE00798,idle_reduction,operator-driven,0.911,L001,scenario,5,6,0.57,0.751,18.1,second_trigger,2026-02-18T06:00:00
TR00253,OP1016,SE00163,idle_reduction,mixed,0.793,L001,quiz_only,6,10,0.659,0.9,24.2,first_trigger,2026-01-09T06:00:00
TR00254,OP1001,SE00116,efficient_loading,operator-driven,0.786,L004,quiz_only,6,8,0.647,0.761,11.4,second_trigger,2026-02-07T06:00:00
TR00255,OP1014,SE01389,seatbelt_compliance,mixed,0.826,L002,micro_lesson,5,8,0.712,0.887,17.6,first_trigger,2026-02-07T06:00:00
TR00256,OP1020,SE00654,efficient_loading,operator-driven,0.772,L004,scenario,3,10,0.553,0.721,16.8,second_trigger,2026-02-07T06:00:00
TR00257,OP1007,SE01208,efficient_loading,mixed,0.876,L004,scenario,4,9,0.679,0.96,28.2,second_trigger,2026-01-02T06:00:00
TR00258,OP1026,SE00849,seatbelt_compliance,operator-driven,0.771,L002,micro_lesson,5,9,0.68,0.97,28.9,first_trigger,2026-01-04T06:00:00
TR00259,OP1006,SE00324,swing_zone_awareness,mixed,0.895,L003,micro_lesson,3,8,0.347,0.547,20.0,first_trigger,2026-01-06T06:00:00
TR00260,OP1006,SE00651,fuel_efficiency,mixed,0.847,L005,micro_lesson,6,10,0.372,0.509,13.6,escalated_to_supervisor,2026-02-15T06:00:00
TR00261,OP1007,SE01386,seatbelt_compliance,operator-driven,0.739,L002,scenario,4,5,0.651,0.736,8.6,first_trigger,2026-02-04T06:00:00
TR00262,OP1017,SE00282,efficient_loading,mixed,0.769,L004,micro_lesson,4,10,0.5,0.612,11.2,escalated_to_supervisor,2026-01-27T06:00:00
TR00263,OP1003,SE01472,seatbelt_compliance,operator-driven,0.65,L002,micro_lesson,4,6,0.41,0.463,5.3,first_trigger,2026-02-09T06:00:00
TR00264,OP1003,SE00029,idle_reduction,operator-driven,0.793,L001,micro_lesson,4,6,0.539,0.657,11.7,first_trigger,2026-02-08T06:00:00
TR00265,OP1025,SE00772,fuel_efficiency,operator-driven,0.74,L005,scenario,3,7,0.464,0.481,1.7,first_trigger,2026-01-23T06:00:00
TR00266,OP1008,SE00912,idle_reduction,mixed,0.811,L001,quiz_only,5,7,0.58,0.702,12.3,escalated_to_supervisor,2026-01-20T06:00:00
TR00267,OP1028,SE00673,swing_zone_awareness,mixed,0.731,L003,quiz_only,3,5,0.567,0.596,2.9,first_trigger,2026-02-07T06:00:00
TR00268,OP1012,SE00815,fuel_efficiency,mixed,0.928,L005,scenario,4,10,0.328,0.596,26.8,first_trigger,2026-01-06T06:00:00
TR00269,OP1014,SE01131,fuel_efficiency,mixed,0.754,L005,micro_lesson,5,7,0.352,0.643,29.2,second_trigger,2026-02-05T06:00:00
TR00270,OP1018,SE00904,swing_zone_awareness,mixed,0.748,L003,scenario,6,9,0.61,0.677,6.7,first_trigger,2026-02-24T06:00:00
TR00271,OP1015,SE00826,seatbelt_compliance,operator-driven,0.785,L002,micro_lesson,3,6,0.704,0.884,18.0,second_trigger,2026-02-04T06:00:00
TR00272,OP1004,SE00483,fuel_efficiency,mixed,0.915,L005,quiz_only,5,8,0.667,0.933,26.6,first_trigger,2026-01-20T06:00:00
TR00273,OP1021,SE00309,seatbelt_compliance,operator-driven,0.905,L002,micro_lesson,4,7,0.707,0.778,7.1,second_trigger,2026-01-21T06:00:00
TR00274,OP1011,SE00630,idle_reduction,operator-driven,0.713,L001,quiz_only,4,8,0.422,0.423,0.1,first_trigger,2026-01-20T06:00:00
TR00275,OP1005,SE01493,fuel_efficiency,operator-driven,0.732,L005,micro_lesson,7,8,0.501,0.567,6.6,first_trigger,2026-02-26T06:00:00
TR00276,OP1030,SE01164,swing_zone_awareness,operator-driven,0.696,L003,scenario,5,9,0.427,0.456,2.9,first_trigger,2026-01-28T06:00:00
TR00277,OP1007,SE00767,fuel_efficiency,mixed,0.907,L005,quiz_only,6,6,0.705,0.929,22.4,second_trigger,2026-01-06T06:00:00
TR00278,OP1021,SE01467,efficient_loading,mixed,0.746,L004,micro_lesson,4,6,0.327,0.389,6.2,second_trigger,2026-01-05T06:00:00
TR00279,OP1009,SE00284,seatbelt_compliance,mixed,0.923,L002,scenario,3,6,0.408,0.467,5.9,first_trigger,2026-02-27T06:00:00
TR00280,OP1026,SE00982,swing_zone_awareness,operator-driven,0.799,L003,quiz_only,6,6,0.696,0.832,13.6,escalated_to_supervisor,2026-01-14T06:00:00
TR00281,OP1007,SE00976,efficient_loading,mixed,0.67,L004,micro_lesson,7,10,0.613,0.623,1.0,first_trigger,2026-01-19T06:00:00
TR00282,OP1023,SE01067,swing_zone_awareness,operator-driven,0.7,L003,micro_lesson,4,8,0.742,0.781,3.9,first_trigger,2026-01-21T06:00:00
TR00283,OP1019,SE00614,efficient_loading,operator-driven,0.945,L004,micro_lesson,6,10,0.336,0.509,17.2,first_trigger,2026-01-27T06:00:00
TR00284,OP1006,SE00063,seatbelt_compliance,operator-driven,0.679,L002,quiz_only,5,8,0.496,0.531,3.4,second_trigger,2026-02-14T06:00:00
TR00285,OP1026,SE01389,swing_zone_awareness,operator-driven,0.653,L003,scenario,6,7,0.715,0.783,6.8,second_trigger,2026-01-22T06:00:00
TR00286,OP1004,SE00679,seatbelt_compliance,operator-driven,0.701,L002,micro_lesson,3,9,0.328,0.399,7.1,first_trigger,2026-02-27T06:00:00
TR00287,OP1009,SE00886,efficient_loading,operator-driven,0.675,L004,scenario,3,6,0.491,0.538,4.7,first_trigger,2026-02-23T06:00:00
TR00288,OP1023,SE01153,fuel_efficiency,operator-driven,0.823,L005,scenario,4,10,0.486,0.742,25.6,first_trigger,2026-01-10T06:00:00
TR00289,OP1015,SE00453,fuel_efficiency,operator-driven,0.727,L005,micro_lesson,7,7,0.524,0.526,0.2,first_trigger,2026-01-12T06:00:00
TR00290,OP1012,SE00546,idle_reduction,mixed,0.653,L001,quiz_only,5,7,0.414,0.513,9.9,escalated_to_supervisor,2026-01-10T06:00:00
TR00291,OP1017,SE01259,swing_zone_awareness,operator-driven,0.947,L003,quiz_only,3,10,0.618,0.813,19.5,first_trigger,2026-01-17T06:00:00
TR00292,OP1026,SE01068,fuel_efficiency,mixed,0.861,L005,micro_lesson,3,5,0.618,0.802,18.5,second_trigger,2026-01-20T06:00:00
TR00293,OP1028,SE01082,seatbelt_compliance,operator-driven,0.676,L002,micro_lesson,3,7,0.396,0.431,3.4,first_trigger,2026-02-02T06:00:00
TR00294,OP1002,SE00907,seatbelt_compliance,operator-driven,0.668,L002,quiz_only,7,5,0.574,0.638,6.4,first_trigger,2026-02-27T06:00:00
TR00295,OP1024,SE00305,swing_zone_awareness,mixed,0.822,L003,scenario,6,5,0.362,0.592,23.0,second_trigger,2026-01-26T06:00:00
TR00296,OP1002,SE01308,efficient_loading,operator-driven,0.678,L004,micro_lesson,4,9,0.484,0.488,0.3,second_trigger,2026-01-02T06:00:00
TR00297,OP1030,SE00353,seatbelt_compliance,operator-driven,0.717,L002,quiz_only,4,7,0.628,0.688,5.9,second_trigger,2026-02-05T06:00:00
TR00298,OP1010,SE01127,efficient_loading,operator-driven,0.86,L004,scenario,5,8,0.539,0.608,7.0,escalated_to_supervisor,2026-02-23T06:00:00
TR00299,OP1003,SE00633,fuel_efficiency,operator-driven,0.76,L005,quiz_only,4,10,0.47,0.703,23.3,escalated_to_supervisor,2026-01-29T06:00:00
TR00300,OP1012,SE00618,swing_zone_awareness,operator-driven,0.936,L003,quiz_only,7,5,0.451,0.628,17.7,escalated_to_supervisor,2026-01-05T06:00:00
TR00301,OP1008,SE00982,seatbelt_compliance,operator-driven,0.876,L002,quiz_only,6,10,0.497,0.67,17.3,second_trigger,2026-02-01T06:00:00
TR00302,OP1008,SE00763,seatbelt_compliance,operator-driven,0.835,L002,scenario,3,5,0.466,0.522,5.6,second_trigger,2026-01-11T06:00:00
TR00303,OP1016,SE00659,seatbelt_compliance,operator-driven,0.833,L002,quiz_only,6,5,0.648,0.911,26.3,second_trigger,2026-01-24T06:00:00
TR00304,OP1004,SE00134,seatbelt_compliance,operator-driven,0.835,L002,quiz_only,4,6,0.501,0.597,9.5,first_trigger,2026-02-07T06:00:00
TR00305,OP1009,SE00317,seatbelt_compliance,operator-driven,0.748,L002,micro_lesson,4,9,0.418,0.507,8.9,escalated_to_supervisor,2026-02-21T06:00:00
TR00306,OP1016,SE00679,idle_reduction,mixed,0.833,L001,micro_lesson,4,10,0.396,0.498,10.1,first_trigger,2026-02-18T06:00:00
TR00307,OP1030,SE00575,fuel_efficiency,mixed,0.814,L005,micro_lesson,7,8,0.473,0.619,14.6,first_trigger,2026-01-30T06:00:00
TR00308,OP1005,SE00630,efficient_loading,mixed,0.753,L004,micro_lesson,4,9,0.535,0.621,8.6,first_trigger,2026-02-14T06:00:00
TR00309,OP1016,SE00480,idle_reduction,mixed,0.82,L001,micro_lesson,7,8,0.726,0.906,18.0,first_trigger,2026-01-31T06:00:00
TR00310,OP1022,SE01365,idle_reduction,operator-driven,0.772,L001,quiz_only,7,5,0.58,0.682,10.2,first_trigger,2026-02-28T06:00:00
TR00311,OP1027,SE00325,seatbelt_compliance,mixed,0.809,L002,scenario,4,7,0.538,0.813,27.4,first_trigger,2026-02-08T06:00:00
TR00312,OP1004,SE00710,fuel_efficiency,operator-driven,0.827,L005,micro_lesson,5,6,0.591,0.814,22.3,escalated_to_supervisor,2026-02-14T06:00:00
TR00313,OP1019,SE00872,seatbelt_compliance,operator-driven,0.821,L002,micro_lesson,4,6,0.685,0.825,14.0,first_trigger,2026-01-19T06:00:00
TR00314,OP1001,SE00967,fuel_efficiency,mixed,0.733,L005,scenario,7,6,0.509,0.533,2.4,second_trigger,2026-01-02T06:00:00
TR00315,OP1009,SE01263,swing_zone_awareness,operator-driven,0.759,L003,micro_lesson,7,10,0.499,0.615,11.7,second_trigger,2026-02-15T06:00:00
TR00316,OP1018,SE00986,efficient_loading,operator-driven,0.93,L004,micro_lesson,3,7,0.35,0.614,26.4,second_trigger,2026-02-08T06:00:00
TR00317,OP1025,SE01127,seatbelt_compliance,mixed,0.937,L002,scenario,4,5,0.576,0.837,26.1,second_trigger,2026-02-25T06:00:00
TR00318,OP1005,SE00340,efficient_loading,operator-driven,0.857,L004,scenario,6,7,0.467,0.728,26.1,first_trigger,2026-02-18T06:00:00
TR00319,OP1009,SE00791,fuel_efficiency,mixed,0.761,L005,micro_lesson,5,7,0.723,0.799,7.6,first_trigger,2026-02-10T06:00:00
TR00320,OP1013,SE00052,efficient_loading,mixed,0.843,L004,quiz_only,6,8,0.441,0.634,19.3,first_trigger,2026-01-07T06:00:00
TR00321,OP1009,SE01024,fuel_efficiency,operator-driven,0.746,L005,quiz_only,3,8,0.58,0.607,2.7,first_trigger,2026-01-07T06:00:00
TR00322,OP1027,SE00438,seatbelt_compliance,operator-driven,0.797,L002,scenario,4,10,0.562,0.677,11.4,first_trigger,2026-01-25T06:00:00
TR00323,OP1018,SE00690,fuel_efficiency,mixed,0.815,L005,micro_lesson,3,5,0.455,0.746,29.1,first_trigger,2026-02-11T06:00:00
TR00324,OP1028,SE00764,fuel_efficiency,operator-driven,0.727,L005,micro_lesson,3,5,0.632,0.649,1.7,second_trigger,2026-02-12T06:00:00
TR00325,OP1002,SE01319,fuel_efficiency,operator-driven,0.863,L005,micro_lesson,4,9,0.315,0.382,6.7,first_trigger,2026-01-20T06:00:00
TR00326,OP1001,SE01481,swing_zone_awareness,operator-driven,0.836,L003,scenario,5,7,0.341,0.448,10.7,escalated_to_supervisor,2026-02-25T06:00:00
TR00327,OP1020,SE00967,swing_zone_awareness,operator-driven,0.882,L003,scenario,3,5,0.433,0.71,27.7,first_trigger,2026-01-15T06:00:00
TR00328,OP1023,SE00229,fuel_efficiency,mixed,0.722,L005,quiz_only,4,5,0.581,0.638,5.8,escalated_to_supervisor,2026-02-21T06:00:00
TR00329,OP1017,SE01008,fuel_efficiency,mixed,0.897,L005,micro_lesson,6,10,0.617,0.781,16.5,first_trigger,2026-02-08T06:00:00
TR00330,OP1012,SE01271,seatbelt_compliance,mixed,0.847,L002,scenario,5,9,0.64,0.77,13.0,first_trigger,2026-01-11T06:00:00
TR00331,OP1007,SE00251,fuel_efficiency,operator-driven,0.876,L005,quiz_only,7,5,0.406,0.631,22.6,first_trigger,2026-01-11T06:00:00
TR00332,OP1013,SE00386,idle_reduction,mixed,0.927,L001,quiz_only,3,10,0.616,0.887,27.1,first_trigger,2026-01-03T06:00:00
TR00333,OP1003,SE01175,efficient_loading,operator-driven,0.809,L004,quiz_only,3,6,0.543,0.68,13.7,first_trigger,2026-02-11T06:00:00
TR00334,OP1026,SE00412,seatbelt_compliance,operator-driven,0.92,L002,scenario,7,9,0.4,0.503,10.4,escalated_to_supervisor,2026-02-21T06:00:00
TR00335,OP1030,SE01364,swing_zone_awareness,operator-driven,0.913,L003,quiz_only,6,10,0.381,0.509,12.8,first_trigger,2026-02-13T06:00:00
TR00336,OP1013,SE00469,fuel_efficiency,operator-driven,0.875,L005,micro_lesson,3,7,0.688,0.886,19.8,second_trigger,2026-01-12T06:00:00
TR00337,OP1018,SE01468,swing_zone_awareness,mixed,0.668,L003,scenario,4,5,0.376,0.377,0.1,escalated_to_supervisor,2026-01-19T06:00:00
TR00338,OP1029,SE01072,idle_reduction,mixed,0.755,L001,quiz_only,7,7,0.325,0.523,19.8,first_trigger,2026-01-29T06:00:00
TR00339,OP1012,SE00026,swing_zone_awareness,mixed,0.651,L003,scenario,4,6,0.476,0.483,0.7,escalated_to_supervisor,2026-01-19T06:00:00
TR00340,OP1017,SE00443,swing_zone_awareness,operator-driven,0.673,L003,scenario,7,9,0.38,0.422,4.1,second_trigger,2026-01-12T06:00:00
TR00341,OP1011,SE00170,efficient_loading,operator-driven,0.876,L004,scenario,6,6,0.373,0.428,5.5,escalated_to_supervisor,2026-02-24T06:00:00
TR00342,OP1012,SE00558,seatbelt_compliance,mixed,0.917,L002,scenario,7,7,0.484,0.583,10.0,first_trigger,2026-01-18T06:00:00
TR00343,OP1014,SE00459,efficient_loading,mixed,0.656,L004,micro_lesson,3,9,0.437,0.492,5.5,second_trigger,2026-01-21T06:00:00
TR00344,OP1027,SE00421,fuel_efficiency,mixed,0.949,L005,micro_lesson,6,5,0.51,0.637,12.7,first_trigger,2026-02-25T06:00:00
TR00345,OP1018,SE00741,swing_zone_awareness,mixed,0.774,L003,scenario,4,6,0.306,0.394,8.8,second_trigger,2026-02-07T06:00:00
TR00346,OP1023,SE00716,swing_zone_awareness,mixed,0.797,L003,scenario,6,6,0.697,0.847,15.0,second_trigger,2026-02-10T06:00:00
TR00347,OP1004,SE00487,seatbelt_compliance,mixed,0.744,L002,quiz_only,7,7,0.54,0.551,1.1,second_trigger,2026-01-08T06:00:00
TR00348,OP1008,SE01342,seatbelt_compliance,operator-driven,0.808,L002,scenario,4,8,0.666,0.793,12.6,first_trigger,2026-02-05T06:00:00
TR00349,OP1022,SE00767,seatbelt_compliance,mixed,0.718,L002,micro_lesson,4,9,0.474,0.551,7.7,first_trigger,2026-01-28T06:00:00
TR00350,OP1010,SE00735,swing_zone_awareness,mixed,0.881,L003,scenario,6,6,0.629,0.738,10.9,first_trigger,2026-02-25T06:00:00
TR00351,OP1003,SE00634,fuel_efficiency,mixed,0.875,L005,scenario,5,10,0.362,0.526,16.4,escalated_to_supervisor,2026-02-20T06:00:00
TR00352,OP1004,SE00916,idle_reduction,mixed,0.827,L001,micro_lesson,6,8,0.411,0.686,27.4,second_trigger,2026-02-26T06:00:00
TR00353,OP1001,SE00983,idle_reduction,mixed,0.883,L001,quiz_only,3,10,0.438,0.661,22.3,second_trigger,2026-01-20T06:00:00
TR00354,OP1003,SE00832,efficient_loading,mixed,0.726,L004,micro_lesson,7,6,0.588,0.669,8.1,second_trigger,2026-02-26T06:00:00
TR00355,OP1016,SE00539,seatbelt_compliance,operator-driven,0.673,L002,scenario,4,7,0.393,0.47,7.7,second_trigger,2026-02-28T06:00:00
TR00356,OP1002,SE01372,fuel_efficiency,mixed,0.856,L005,quiz_only,6,10,0.369,0.603,23.4,second_trigger,2026-01-07T06:00:00
TR00357,OP1004,SE00710,idle_reduction,mixed,0.895,L001,quiz_only,3,5,0.557,0.847,29.0,second_trigger,2026-01-21T06:00:00
TR00358,OP1006,SE00794,seatbelt_compliance,operator-driven,0.86,L002,quiz_only,3,6,0.467,0.52,5.3,first_trigger,2026-02-20T06:00:00
TR00359,OP1021,SE00453,idle_reduction,operator-driven,0.725,L001,micro_lesson,6,5,0.593,0.626,3.3,second_trigger,2026-01-23T06:00:00
