session_id,task_id,operator_id,machine_id,start_timestamp,end_timestamp,task_type,task_phase,workload,target_output,priority,machine_condition,attachment_type,engine_hours,engine_load_pct,load_cycles,soil_material,soil_moisture_pct,soil_hardness_index,site_slope_deg,surface_type,congestion_level,travel_distance_km,rain_mm,temperature_c,heat_index_c,visibility_m,dust_level,day_night,shift_elapsed_min,operator_cumulative_hours,recent_idle_ratio,recent_load_ratio,recent_incident_count,actual_task_duration_min,actual_fuel_used_l,actual_idle_time_min,actual_cycle_count,data_source,synthetic_flag,data_quality_confidence
S001391,T00439,OP1027,EXC006,2026-03-29T03:49:21,2026-03-29T04:31:57,hauling,active,medium,19.2,3,poor,ripper,3970.0,71.6,27,sand,79.3,0.142,9.0,paved,low,1.78,0.0,20.6,20.6,2180.0,low,night,0.0,6488.7,0.2206,0.5114,1,42.6,11.36,8.74,27,synthetic,True,0.85
S001392,T00106,OP1010,EXC009,2026-03-29T05:09:22,2026-03-29T06:42:30,excavation,active,medium,156.2,3,good,blade,4810.0,69.1,75,rock,28.3,0.906,14.1,rocky,high,4.66,0.0,35.6,35.6,3149.0,low,night,0.0,23408.4,0.2235,0.5207,2,93.13,14.27,20.66,75,synthetic,True,0.85
S001393,T01225,OP1001,EXC010,2026-03-29T06:45:40,2026-03-29T08:05:15,grading,active,medium,300.6,5,good,hammer,5000.0,72.4,55,mixed,35.7,0.409,11.8,wet,high,4.13,0.0,33.5,33.5,3677.0,low,day,45.0,28305.0,0.1403,0.6398,1,79.57,18.84,11.43,55,synthetic,True,0.85
S001394,T00429,OP1027,EXC006,2026-03-29T08:03:54,2026-03-29T09:11:49,loading,active,medium,14.8,2,poor,blade,3970.0,61.0,41,gravel,44.4,0.382,3.3,soft,high,3.48,0.0,21.2,21.2,504.0,low,day,123.0,6667.4,0.3769,0.4239,0,67.92,21.4,24.56,41,synthetic,True,0.85
S001395,T00085,OP1003,EXC008,2026-03-29T09:38:28,2026-03-29T10:52:41,excavation,active,medium,186.7,4,good,ripper,4805.0,70.8,95,gravel,44.4,0.382,3.3,soft,high,0.22,0.0,37.7,37.7,750.0,low,day,218.0,17827.0,0.1076,0.6421,1,74.22,12.02,6.72,95,synthetic,True,0.85
S001396,T00028,OP1007,EXC008,2026-03-29T11:25:22,2026-03-29T13:26:32,grading,active,heavy,103.6,5,good,hammer,4805.0,84.7,92,mixed,35.7,0.409,11.8,wet,high,4.97,3.17,22.1,24.1,665.0,low,day,325.0,21065.6,0.2681,0.8616,1,121.16,37.31,31.76,92,synthetic,True,0.85
S001397,T00662,OP1030,EXC008,2026-03-29T12:40:08,2026-03-29T13:43:26,excavation,wrap_up,light,196.1,2,good,grapple,4805.0,38.1,45,rock,42.1,0.735,1.4,paved,high,1.84,2.82,26.3,28.3,330.0,medium,day,400.0,20847.2,0.3403,0.2733,2,63.31,6.75,20.13,45,synthetic,True,0.85
S001398,T00808,OP1002,EXC005,2026-03-29T13:32:56,2026-03-29T15:40:24,hauling,active,heavy,16.2,4,poor,grapple,4290.0,88.4,102,rock,28.3,0.906,14.1,rocky,high,2.88,0.0,18.9,18.9,3319.0,low,day,452.0,17118.3,0.0886,0.7893,0,127.46,33.52,14.04,102,synthetic,True,0.85
S001399,T00849,OP1013,EXC004,2026-03-29T15:30:57,2026-03-29T16:08:08,loading,active,medium,39.0,2,good,bucket,3790.0,57.6,28,rock,16.5,0.88,2.4,soft,medium,4.9,0.0,28.1,28.1,4331.0,low,day,570.0,24470.1,0.2168,0.6018,0,37.19,5.41,7.82,28,synthetic,True,0.85
S001400,T00880,OP1019,EXC005,2026-03-29T16:55:10,2026-03-29T17:58:58,excavation,active,medium,74.0,4,poor,ripper,4290.0,65.4,68,sand,79.3,0.142,9.0,paved,low,2.3,0.0,15.5,15.5,853.0,low,day,655.0,33854.7,0.169,0.6043,2,63.81,17.63,11.18,68,synthetic,True,0.85
S001401,T00898,OP1010,EXC004,2026-03-29T18:08:42,2026-03-29T19:47:09,trenching,active,medium,131.3,5,good,grapple,3790.0,64.4,75,gravel,44.4,0.382,3.3,soft,high,3.09,0.0,22.1,22.1,319.0,medium,day,728.0,23251.9,0.2325,0.6765,1,98.45,11.74,22.6,75,synthetic,True,0.85
S001402,T00339,OP1018,EXC008,2026-03-29T20:04:34,2026-03-29T22:14:58,grading,active,medium,734.0,4,good,ripper,4805.0,65.9,78,mixed,35.7,0.409,11.8,wet,high,3.81,7.07,18.7,20.7,106.0,high,night,844.0,18701.4,0.2537,0.6724,1,130.4,16.9,32.5,78,synthetic,True,0.85
S001403,T01201,OP1004,EXC007,2026-03-29T21:54:46,2026-03-29T23:32:07,hauling,setup,heavy,7.7,5,poor,hammer,3915.0,74.6,64,rock,18.0,0.794,14.9,soft,medium,0.36,0.0,17.9,17.9,2006.0,low,night,954.0,24662.2,0.1226,0.7709,1,97.36,50.24,12.04,64,synthetic,True,0.85
S001404,T00118,OP1028,EXC001,2026-03-29T23:11:57,2026-03-30T00:02:10,stockpiling,active,light,43.6,5,good,blade,3905.0,44.0,33,gravel,44.4,0.382,3.3,soft,high,1.6,0.0,15.5,15.5,229.0,medium,night,1031.0,18012.5,0.2202,0.2435,2,50.21,6.22,11.29,33,synthetic,True,0.85
S001405,T01027,OP1029,EXC005,2026-03-30T00:11:58,2026-03-30T01:52:51,trenching,active,medium,120.8,5,poor,blade,4290.0,67.2,119,gravel,44.4,0.382,3.3,soft,high,2.41,0.0,39.7,39.7,507.0,low,night,0.0,28371.4,0.2068,0.6657,2,100.87,31.47,22.45,119,synthetic,True,0.85
S001406,T01050,OP1017,EXC007,2026-03-30T02:21:54,2026-03-30T03:19:02,hauling,wrap_up,medium,28.2,4,poor,bucket,3915.0,68.2,46,rock,42.1,0.735,1.4,paved,high,2.06,0.0,15.3,15.3,3959.0,low,night,0.0,19251.0,0.2502,0.7108,0,57.13,8.78,13.33,46,synthetic,True,0.85
S001407,T00069,OP1004,EXC004,2026-03-30T03:01:38,2026-03-30T03:55:17,grading,active,medium,595.8,2,good,blade,3790.0,64.9,37,gravel,44.4,0.382,3.3,soft,high,3.58,0.0,24.9,24.9,3843.0,low,night,0.0,24685.8,0.1441,0.6314,0,53.64,10.43,8.08,37,synthetic,True,0.85
S001408,T00756,OP1022,EXC010,2026-03-30T04:37:44,2026-03-30T06:10:44,excavation,active,medium,473.9,4,good,bucket,5000.0,63.6,56,gravel,64.1,0.575,8.6,soft,medium,1.48,0.56,20.5,22.5,816.0,low,night,0.0,3719.2,0.1811,0.6073,2,93.0,14.56,17.63,56,synthetic,True,0.85
S001409,T01288,OP1030,EXC006,2026-03-30T06:09:05,2026-03-30T07:55:52,loading,active,medium,93.7,5,poor,grapple,3970.0,60.3,74,rock,28.3,0.906,14.1,rocky,high,0.98,0.0,33.6,33.6,4827.0,low,day,9.0,20707.8,0.2873,0.5714,2,106.78,32.97,29.84,74,synthetic,True,0.85
S001410,T00359,OP1021,EXC009,2026-03-30T07:32:38,2026-03-30T08:19:13,loading,active,light,48.9,1,good,blade,4810.0,38.9,48,mixed,35.7,0.409,11.8,wet,high,4.77,0.0,28.5,28.5,4280.0,low,day,92.0,4280.1,0.2723,0.2127,2,46.57,9.16,12.93,48,synthetic,True,0.85
S001411,T00729,OP1010,EXC010,2026-03-30T09:02:07,2026-03-30T09:32:48,grading,active,light,499.4,3,good,grapple,5000.0,40.1,26,sand,79.3,0.142,9.0,paved,low,3.7,0.0,22.7,22.7,3503.0,low,day,182.0,23281.5,0.1352,0.3383,0,30.68,2.31,4.07,26,synthetic,True,0.85
S001412,T01014,OP1001,EXC002,2026-03-30T11:19:23,2026-03-30T12:40:33,grading,active,medium,166.6,3,fair,hammer,3950.0,68.0,56,mixed,35.7,0.409,11.8,wet,high,1.87,0.0,23.8,23.8,3139.0,low,day,319.0,28395.3,0.1509,0.586,2,81.16,20.6,11.51,56,synthetic,True,0.85
S001413,T00916,OP1028,EXC005,2026-03-30T12:57:47,2026-03-30T15:36:04,excavation,active,medium,85.8,5,poor,blade,4290.0,67.7,108,rock,42.1,0.735,1.4,paved,high,4.34,5.89,30.7,32.7,138.0,high,day,417.0,17998.6,0.2088,0.6529,1,158.29,56.7,31.18,108,synthetic,True,0.85
S001414,T01272,OP1017,EXC003,2026-03-30T13:58:02,2026-03-30T15:20:50,trenching,active,light,135.3,2,poor,ripper,4055.0,42.2,66,mixed,71.5,0.761,10.1,rocky,low,2.92,0.0,38.5,38.5,1099.0,low,day,478.0,19164.9,0.188,0.2916,2,82.8,12.93,15.12,66,synthetic,True,0.85
S001415,T00284,OP1003,EXC007,2026-03-30T15:54:48,2026-03-30T16:46:16,hauling,wrap_up,medium,17.2,5,poor,blade,3915.0,65.1,67,rock,42.1,0.735,1.4,paved,high,0.28,0.0,23.1,23.1,4858.0,low,day,594.0,17878.4,0.0571,0.5334,1,51.47,13.03,2.53,67,synthetic,True,0.85
S001416,T01049,OP1013,EXC007,2026-03-30T16:41:52,2026-03-30T19:26:02,excavation,active,medium,414.3,5,poor,blade,3915.0,59.5,119,rock,28.3,0.906,14.1,rocky,high,3.18,0.0,33.3,33.3,168.0,high,day,641.0,24457.0,0.1658,0.5325,1,164.18,28.31,29.58,119,synthetic,True,0.85
S001417,T01409,OP1014,EXC004,2026-03-30T18:05:49,2026-03-30T19:11:59,trenching,active,light,69.5,4,good,blade,3790.0,37.4,70,rock,42.1,0.735,1.4,paved,high,1.32,0.36,38.9,40.9,3822.0,low,day,725.0,34467.6,0.1389,0.3264,2,66.16,5.25,8.83,70,synthetic,True,0.85
S001418,T00525,OP1009,EXC008,2026-03-30T19:40:22,2026-03-30T20:29:00,grading,active,light,415.2,4,good,blade,4805.0,40.9,59,rock,21.9,0.872,11.3,wet,medium,3.34,1.84,38.9,40.9,4944.0,low,night,820.0,26387.7,0.1288,0.3544,0,48.63,4.6,6.81,59,synthetic,True,0.85
S001419,T01115,OP1023,EXC001,2026-03-30T21:30:39,2026-03-30T22:10:00,loading,active,light,41.8,1,good,bucket,3905.0,39.5,29,rock,42.1,0.735,1.4,paved,high,0.67,0.0,24.6,24.6,770.0,low,night,930.0,3619.4,0.1787,0.3458,0,39.34,3.03,7.01,29,synthetic,True,0.85
S001420,T00137,OP1001,EXC001,2026-03-30T22:35:11,2026-03-30T23:39:39,grading,active,heavy,307.6,4,good,hammer,3905.0,79.2,46,gravel,64.1,0.575,8.6,soft,medium,2.55,0.0,27.0,27.0,2113.0,low,night,995.0,28452.7,0.0898,0.8227,2,64.46,20.01,6.22,46,synthetic,True,0.85
S001421,T00444,OP1018,EXC009,2026-03-31T00:37:23,2026-03-31T01:07:03,loading,active,light,34.8,4,good,hammer,4810.0,36.5,19,rock,16.5,0.88,2.4,soft,medium,1.61,0.0,18.6,18.6,2518.0,low,night,0.0,18696.1,0.1704,0.2582,0,29.67,2.51,5.43,19,synthetic,True,0.85
S001422,T00305,OP1004,EXC004,2026-03-31T01:40:50,2026-03-31T02:35:12,loading,active,medium,10.1,1,good,blade,3790.0,64.2,36,mixed,35.7,0.409,11.8,wet,high,4.96,0.0,27.6,27.6,854.0,low,night,0.0,24764.2,0.1924,0.5849,2,54.37,13.05,10.0,36,synthetic,True,0.85
S001423,T01074,OP1003,EXC008,2026-03-31T03:01:57,2026-03-31T06:19:34,trenching,active,heavy,176.3,1,good,bucket,4805.0,78.9,256,rock,21.9,0.872,11.3,wet,medium,1.32,1.89,20.6,22.6,133.0,high,night,0.0,18015.2,0.0542,0.8323,0,197.62,67.37,11.28,256,synthetic,True,0.85
S001424,T00372,OP1030,EXC003,2026-03-31T04:48:16,2026-03-31T07:17:39,grading,setup,heavy,852.3,3,poor,ripper,4055.0,90.2,101,rock,21.9,0.872,11.3,wet,medium,1.17,0.0,30.7,30.7,2257.0,low,night,0.0,20899.2,0.2876,0.8874,1,149.38,57.04,38.57,101,synthetic,True,0.85
S001425,T01316,OP1007,EXC006,2026-03-31T06:45:18,2026-03-31T08:36:40,grading,active,heavy,214.2,4,poor,grapple,3970.0,91.0,82,rock,42.1,0.735,1.4,paved,high,0.58,0.0,38.5,38.5,3565.0,low,day,45.0,20992.6,0.267,0.8688,2,111.37,33.77,29.43,82,synthetic,True,0.85
S001426,T00628,OP1010,EXC010,2026-03-31T07:50:44,2026-03-31T08:37:38,excavation,setup,medium,277.5,1,good,bucket,5000.0,67.6,36,sand,79.3,0.142,9.0,paved,low,4.47,0.0,32.7,32.7,1377.0,low,day,110.0,23307.3,0.1551,0.6221,0,46.9,5.47,6.41,36,synthetic,True,0.85
S001427,T00382,OP1009,EXC002,2026-03-31T09:35:52,2026-03-31T10:28:09,trenching,setup,light,32.5,5,fair,grapple,3950.0,37.1,65,sand,79.3,0.142,9.0,paved,low,0.5,0.0,24.8,24.8,4910.0,low,day,215.0,26387.8,0.1185,0.3493,2,52.28,4.49,6.11,65,synthetic,True,0.85
S001428,T01085,OP1023,EXC001,2026-03-31T10:33:47,2026-03-31T12:30:26,excavation,active,medium,160.4,2,good,hammer,3905.0,60.0,85,mixed,35.7,0.409,11.8,wet,high,3.42,0.0,28.1,28.1,2009.0,low,day,273.0,3519.4,0.1983,0.6159,1,116.65,15.83,23.69,85,synthetic,True,0.85
S001429,T00717,OP1018,EXC009,2026-03-31T12:11:05,2026-03-31T13:15:22,excavation,active,light,65.5,4,good,ripper,4810.0,34.9,37,rock,42.1,0.735,1.4,paved,high,1.38,1.43,19.7,21.7,2280.0,low,day,371.0,18621.2,0.2564,0.3057,0,64.29,6.06,15.89,37,synthetic,True,0.85
S001430,T01241,OP1020,EXC001,2026-03-31T14:17:04,2026-03-31T15:12:29,hauling,active,heavy,7.5,2,good,ripper,3905.0,85.1,57,rock,42.1,0.735,1.4,paved,high,1.94,0.0,19.8,19.8,4328.0,low,day,497.0,22593.7,0.127,0.9511,2,55.41,12.75,8.32,57,synthetic,True,0.85
S001431,T00918,OP1013,EXC009,2026-03-31T15:04:15,2026-03-31T16:15:19,excavation,active,heavy,204.1,5,good,blade,4810.0,76.6,52,rock,16.5,0.88,2.4,soft,medium,1.21,0.0,25.5,25.5,1971.0,low,day,544.0,24429.2,0.2025,0.8676,2,71.06,11.59,14.7,52,synthetic,True,0.85
S001432,T00566,OP1010,EXC003,2026-03-31T17:12:14,2026-03-31T19:47:31,trenching,setup,medium,30.3,5,poor,grapple,4055.0,66.4,120,rock,18.0,0.794,14.9,soft,medium,1.91,1.51,18.3,20.3,3972.0,low,day,672.0,23392.6,0.1749,0.5917,0,155.29,26.21,25.79,120,synthetic,True,0.85
S001433,T00424,OP1017,EXC002,2026-03-31T18:59:17,2026-03-31T19:59:24,stockpiling,active,medium,276.4,1,fair,bucket,3950.0,73.5,47,rock,16.5,0.88,2.4,soft,medium,4.43,4.0,18.4,20.4,2840.0,low,day,779.0,19145.0,0.1526,0.494,0,60.13,10.74,8.3,47,synthetic,True,0.85
S001434,T00040,OP1022,EXC005,2026-03-31T20:08:57,2026-03-31T21:39:04,excavation,active,light,164.0,4,poor,ripper,4290.0,36.5,56,rock,42.1,0.735,1.4,paved,high,4.27,0.0,32.6,32.6,4785.0,low,night,848.0,3629.4,0.2458,0.2341,2,90.13,17.87,21.04,56,synthetic,True,0.85
S001435,T01376,OP1022,EXC003,2026-03-31T21:13:50,2026-03-31T22:14:49,loading,setup,light,23.4,1,poor,blade,4055.0,38.2,39,mixed,35.7,0.409,11.8,wet,high,3.64,0.0,37.0,37.0,717.0,low,night,913.0,3782.6,0.2652,0.3209,2,60.99,11.79,16.22,39,synthetic,True,0.85
S001436,T00158,OP1024,EXC006,2026-03-31T22:39:51,2026-04-01T00:04:44,loading,setup,medium,98.9,1,poor,grapple,3970.0,69.4,130,mixed,35.7,0.409,11.8,wet,high,2.32,0.0,32.5,32.5,819.0,low,night,999.0,23807.1,0.2899,0.6301,0,84.87,24.75,24.59,130,synthetic,True,0.85
S001437,T01230,OP1028,EXC002,2026-04-01T00:15:30,2026-04-01T01:39:06,grading,active,heavy,945.8,4,fair,blade,3950.0,78.8,56,mixed,71.5,0.761,10.1,rocky,low,3.5,0.0,19.2,19.2,1104.0,low,night,0.0,17860.3,0.1592,0.8266,2,83.6,43.2,14.01,56,synthetic,True,0.85
S001438,T00786,OP1029,EXC002,2026-04-01T02:01:44,2026-04-01T04:01:48,trenching,active,medium,196.0,2,fair,grapple,3950.0,72.0,144,rock,18.0,0.794,14.9,soft,medium,3.49,0.0,24.4,24.4,3601.0,low,night,0.0,28401.7,0.1965,0.6591,0,120.07,42.77,23.22,144,synthetic,True,0.85
S001439,T01138,OP1003,EXC008,2026-04-01T03:30:30,2026-04-01T04:37:10,grading,active,medium,561.6,1,good,ripper,4805.0,61.3,84,rock,21.9,0.872,11.3,wet,medium,0.86,0.0,28.4,28.4,4878.0,low,night,0.0,17886.5,0.0408,0.6365,0,66.67,13.96,2.5,84,synthetic,True,0.85
S001440,T00153,OP1028,EXC003,2026-04-01T05:13:49,2026-04-01T06:01:51,hauling,active,medium,47.9,2,poor,bucket,4055.0,72.9,34,rock,16.5,0.88,2.4,soft,medium,0.67,0.0,26.5,26.5,581.0,low,night,0.0,18017.4,0.1443,0.5732,0,48.04,14.55,7.85,34,synthetic,True,0.85
S001441,T00055,OP1017,EXC003,2026-04-01T06:51:14,2026-04-01T08:31:14,grading,active,medium,120.9,5,poor,grapple,4055.0,66.0,78,rock,18.0,0.794,14.9,soft,medium,4.39,0.0,32.0,32.0,3574.0,low,day,51.0,19226.3,0.1845,0.6224,1,99.99,22.78,17.76,78,synthetic,True,0.85
S001442,T00809,OP1026,EXC008,2026-04-01T08:00:15,2026-04-01T08:53:51,hauling,wrap_up,heavy,13.8,4,good,blade,4805.0,83.8,61,rock,16.5,0.88,2.4,soft,medium,1.81,0.0,24.5,24.5,4815.0,low,day,120.0,20030.5,0.1889,0.9457,0,53.6,15.39,9.76,61,synthetic,True,0.85
S001443,T01023,OP1012,EXC003,2026-04-01T09:16:01,2026-04-01T12:34:11,excavation,active,heavy,370.5,3,poor,hammer,4055.0,82.1,203,mixed,35.7,0.409,11.8,wet,high,1.8,0.0,25.5,25.5,798.0,low,day,196.0,18130.1,0.1281,0.8913,0,198.16,75.32,24.59,203,synthetic,True,0.85
S001444,T00183,OP1005,EXC005,2026-04-01T10:56:47,2026-04-01T11:37:16,excavation,active,light,181.5,1,poor,grapple,4290.0,37.6,34,sand,79.3,0.142,9.0,paved,low,3.57,0.0,22.9,22.9,3663.0,low,day,296.0,28801.7,0.1499,0.2861,2,40.49,8.85,5.78,34,synthetic,True,0.85
S001445,T00275,OP1001,EXC003,2026-04-01T12:10:16,2026-04-01T13:33:20,excavation,active,light,134.9,4,poor,grapple,4055.0,42.2,59,rock,18.0,0.794,14.9,soft,medium,3.06,0.63,21.4,23.4,4663.0,low,day,370.0,28309.3,0.1268,0.21,0,83.07,19.46,10.89,59,synthetic,True,0.85
S001446,T00439,OP1001,EXC007,2026-04-01T13:42:04,2026-04-01T14:18:15,hauling,active,medium,19.2,3,poor,hammer,3915.0,67.2,25,sand,79.3,0.142,9.0,paved,low,1.78,0.0,23.2,23.2,3290.0,low,day,462.0,28311.4,0.1158,0.6687,0,36.19,10.39,4.02,25,synthetic,True,0.85
S001447,T00052,OP1020,EXC007,2026-04-01T15:27:31,2026-04-01T17:15:54,grading,active,medium,213.2,5,poor,grapple,3915.0,78.5,114,mixed,35.7,0.409,11.8,wet,high,3.37,0.0,24.3,24.3,3306.0,low,day,567.0,22530.0,0.1497,0.4995,1,108.38,25.21,17.67,114,synthetic,True,0.85
S001448,T01351,OP1002,EXC003,2026-04-01T16:45:52,2026-04-01T18:09:44,loading,setup,medium,85.1,4,poor,blade,4055.0,58.3,67,rock,21.9,0.872,11.3,wet,medium,1.54,0.0,25.2,25.2,1529.0,low,day,645.0,16951.0,0.1083,0.5065,0,83.87,14.0,8.99,67,synthetic,True,0.85
S001449,T00261,OP1012,EXC006,2026-04-01T18:00:04,2026-04-01T18:48:03,loading,active,light,98.7,1,poor,blade,3970.0,38.5,51,rock,21.9,0.872,11.3,wet,medium,3.13,0.0,24.0,24.0,1134.0,low,day,720.0,18155.6,0.1011,0.3569,1,47.99,10.38,5.68,51,synthetic,True,0.85
S001450,T00149,OP1001,EXC001,2026-04-01T20:28:51,2026-04-01T21:30:19,grading,active,light,765.8,4,good,grapple,3905.0,42.2,41,mixed,35.7,0.409,11.8,wet,high,3.68,0.0,38.0,38.0,1556.0,low,night,868.0,28310.6,0.1496,0.3799,1,61.48,9.09,8.58,41,synthetic,True,0.85
S001451,T00528,OP1009,EXC008,2026-04-01T21:30:59,2026-04-01T22:39:29,stockpiling,active,medium,133.8,5,good,ripper,4805.0,59.7,89,rock,18.0,0.794,14.9,soft,medium,3.61,0.0,21.9,21.9,1384.0,low,night,930.0,26404.3,0.1502,0.5993,0,68.5,10.11,10.41,89,synthetic,True,0.85
S001452,T00535,OP1016,EXC009,2026-04-01T23:11:54,2026-04-01T23:44:07,loading,active,light,49.1,2,good,blade,4810.0,41.4,42,gravel,64.1,0.575,8.6,soft,medium,4.43,0.0,29.1,29.1,1507.0,low,night,1031.0,22476.9,0.2397,0.3368,0,32.2,4.12,8.24,42,synthetic,True,0.85
S001453,T00095,OP1013,EXC005,2026-04-02T00:52:06,2026-04-02T03:01:25,trenching,active,medium,56.3,3,poor,hammer,4290.0,66.5,90,gravel,44.4,0.382,3.3,soft,high,3.13,0.0,18.8,18.8,1153.0,low,night,0.0,24486.9,0.2009,0.5444,0,129.32,17.41,26.25,90,synthetic,True,0.85
S001454,T01328,OP1030,EXC003,2026-04-02T02:26:03,2026-04-02T04:18:03,trenching,active,light,124.8,4,poor,hammer,4055.0,35.0,74,mixed,35.7,0.409,11.8,wet,high,3.22,0.0,37.3,37.3,2590.0,low,night,0.0,20724.5,0.3262,0.3635,1,112.0,22.12,34.86,74,synthetic,True,0.85
S001455,T00022,OP1005,EXC007,2026-04-02T03:37:30,2026-04-02T04:07:25,hauling,active,light,26.6,5,poor,grapple,3915.0,36.9,21,rock,16.5,0.88,2.4,soft,medium,1.22,0.7,31.8,33.8,1077.0,low,night,0.0,28901.3,0.1699,0.2451,2,29.91,5.84,4.86,21,synthetic,True,0.85
S001456,T00925,OP1025,EXC010,2026-04-02T04:53:00,2026-04-02T05:22:33,hauling,wrap_up,medium,14.8,3,good,ripper,5000.0,65.9,28,sand,79.3,0.142,9.0,paved,low,0.96,0.0,27.6,27.6,4684.0,low,night,0.0,14544.8,0.1247,0.6633,2,29.55,3.69,3.4,28,synthetic,True,0.85
S001457,T00606,OP1005,EXC005,2026-04-02T06:22:03,2026-04-02T08:37:21,trenching,active,medium,92.5,1,poor,bucket,4290.0,63.4,106,gravel,64.1,0.575,8.6,soft,medium,2.24,0.0,22.5,22.5,731.0,low,day,22.0,28912.6,0.156,0.6111,2,135.3,45.8,20.56,106,synthetic,True,0.85
S001458,T00517,OP1024,EXC004,2026-04-02T08:16:26,2026-04-02T09:20:36,grading,active,medium,215.5,5,good,ripper,3790.0,58.5,96,gravel,64.1,0.575,8.6,soft,medium,2.31,0.0,24.1,24.1,2702.0,low,day,136.0,23825.4,0.2125,0.5558,1,64.17,12.96,14.01,96,synthetic,True,0.85
S001459,T00233,OP1001,EXC004,2026-04-02T09:26:08,2026-04-02T10:53:35,excavation,setup,heavy,250.4,1,good,grapple,3790.0,82.1,58,rock,16.5,0.88,2.4,soft,medium,4.22,0.47,38.2,40.2,2874.0,low,day,206.0,28375.6,0.1357,0.7877,1,87.44,23.79,10.46,58,synthetic,True,0.85
S001460,T01162,OP1002,EXC009,2026-04-02T11:23:27,2026-04-02T12:24:31,grading,wrap_up,medium,168.9,1,good,bucket,4810.0,73.8,47,rock,42.1,0.735,1.4,paved,high,3.08,0.0,20.5,20.5,1286.0,low,day,323.0,17001.5,0.1193,0.6001,2,61.06,7.52,8.42,47,synthetic,True,0.85
S001461,T00250,OP1016,EXC001,2026-04-02T12:30:37,2026-04-02T14:05:26,excavation,active,medium,363.8,4,good,blade,3905.0,70.2,125,rock,18.0,0.794,14.9,soft,medium,1.12,0.0,40.0,40.0,245.0,medium,day,390.0,22330.7,0.245,0.569,0,94.81,16.93,23.24,125,synthetic,True,0.85
S001462,T00280,OP1021,EXC001,2026-04-02T13:33:39,2026-04-02T15:18:49,loading,active,medium,23.2,5,good,ripper,3905.0,64.9,113,rock,28.3,0.906,14.1,rocky,high,1.84,0.0,24.9,24.9,4827.0,low,day,453.0,4310.9,0.2642,0.6467,0,105.16,29.31,28.58,113,synthetic,True,0.85
S001463,T00553,OP1029,EXC001,2026-04-02T15:05:38,2026-04-02T16:59:05,excavation,active,heavy,374.4,3,good,blade,3905.0,85.2,134,rock,21.9,0.872,11.3,wet,medium,1.89,0.09,18.3,20.3,1733.0,low,day,545.0,28269.0,0.1656,0.8739,1,113.45,40.81,19.59,134,synthetic,True,0.85
S001464,T01067,OP1006,EXC001,2026-04-02T17:16:52,2026-04-02T18:01:08,hauling,setup,medium,49.3,3,good,hammer,3905.0,60.8,39,rock,18.0,0.794,14.9,soft,medium,2.37,0.0,27.7,27.7,585.0,low,day,676.0,23771.0,0.1694,0.6664,1,44.26,7.55,7.23,39,synthetic,True,0.85
S001465,T00334,OP1006,EXC002,2026-04-02T18:33:03,2026-04-02T19:22:46,hauling,wrap_up,light,36.9,1,fair,grapple,3950.0,34.0,44,rock,28.3,0.906,14.1,rocky,high,4.69,0.0,38.4,38.4,2800.0,low,day,753.0,23656.1,0.1833,0.2688,2,49.72,8.78,8.75,44,synthetic,True,0.85
S001466,T00596,OP1017,EXC010,2026-04-02T19:45:51,2026-04-02T22:00:13,trenching,active,heavy,60.6,5,good,blade,5000.0,81.9,105,rock,42.1,0.735,1.4,paved,high,0.47,0.0,17.9,17.9,2110.0,low,night,825.0,19173.4,0.246,0.8043,0,134.36,19.97,33.07,105,synthetic,True,0.85
S001467,T01157,OP1022,EXC005,2026-04-02T21:38:14,2026-04-03T00:15:51,excavation,active,heavy,351.8,3,poor,grapple,4290.0,83.2,100,rock,16.5,0.88,2.4,soft,medium,1.44,0.0,35.6,35.6,2260.0,low,night,938.0,3659.3,0.1982,0.8843,1,157.61,43.86,31.57,100,synthetic,True,0.85
S001468,T01191,OP1005,EXC004,2026-04-02T23:26:18,2026-04-03T00:12:17,loading,active,heavy,70.1,5,good,ripper,3790.0,88.4,36,sand,79.3,0.142,9.0,paved,low,2.26,0.0,16.7,16.7,4263.0,low,night,1046.0,28954.8,0.0931,0.8399,2,45.99,15.4,4.87,36,synthetic,True,0.85
S001469,T01214,OP1006,EXC002,2026-04-03T00:37:46,2026-04-03T02:05:54,loading,wrap_up,medium,53.2,3,fair,hammer,3950.0,65.1,73,rock,28.3,0.906,14.1,rocky,high,4.15,0.0,20.1,20.1,4309.0,low,night,0.0,23619.9,0.1727,0.5637,2,88.14,19.25,13.9,73,synthetic,True,0.85
S001470,T00821,OP1024,EXC010,2026-04-03T01:55:58,2026-04-03T02:34:47,hauling,active,medium,9.9,3,good,bucket,5000.0,71.7,58,gravel,44.4,0.382,3.3,soft,high,0.94,0.0,17.2,17.2,2231.0,low,night,0.0,23959.5,0.2345,0.5462,1,38.82,5.58,8.67,58,synthetic,True,0.85
S001471,T00096,OP1018,EXC007,2026-04-03T03:46:47,2026-04-03T06:28:55,loading,active,heavy,44.0,2,poor,bucket,3915.0,80.4,94,rock,28.3,0.906,14.1,rocky,high,2.75,0.0,30.2,30.2,1319.0,low,night,0.0,18691.0,0.2288,1.0,1,162.13,65.94,37.25,94,synthetic,True,0.85
